symbol,date,price
print,Jul 2003,4.47
print,Aug 2003,4.45
print,Sep 2003,3.94
print,Oct 2003,4.3
print,Nov 2003,4.32
print,Dec 2003,4.26
print,Jan 2004,4.14
print,Feb 2004,3.98
print,Mar 2004,3.84
print,Apr 2004,4.5
print,May 2004,4.66
print,Jun 2004,4.62
print,Jul 2004,4.47
print,Aug 2004,4.13
print,Sep 2004,4.12
print,Oct 2004,4.03
print,Nov 2004,4.36
print,Dec 2004,4.22
print,Jan 2005,4.13
print,Feb 2005,4.36
print,Mar 2005,4.5
print,Apr 2005,4.2
print,May 2005,4.01
print,Jun 2005,3.94
print,Jul 2005,4.29
print,Aug 2005,4.02
print,Sep 2005,4.33
print,Oct 2005,4.56
print,Nov 2005,4.5
print,Dec 2005,4.39
print,Jan 2006,4.53
print,Feb 2006,4.55
print,Mar 2006,4.85
print,Apr 2006,5.07
print,May 2006,5.11
print,Jun 2006,5.14
print,Jul 2006,4.99
print,Aug 2006,4.73
print,Sep 2006,4.63
print,Oct 2006,4.61
print,Nov 2006,4.46
print,Dec 2006,4.71
print,Jan 2007,4.83
print,Feb 2007,4.55
print,Mar 2007,4.65
print,Apr 2007,4.63
print,May 2007,4.89
print,Jun 2007,5.03
print,Jul 2007,4.77
print,Aug 2007,4.54
print,Sep 2007,4.58
print,Oct 2007,4.47
print,Nov 2007,3.97
print,Dec 2007,4.03
print,Jan 2008,3.64
print,Feb 2008,3.53
print,Mar 2008,3.43
print,Apr 2008,3.76
print,May 2008,4.05
print,Jun 2008,3.98
print,Jul 2008,3.98
print,Aug 2008,3.81
print,Sep 2008,3.83
print,Oct 2008,3.97
print,Nov 2008,2.96
print,Dec 2008,2.24
print,Jan 2009,2.84
print,Feb 2009,3.04
print,Mar 2009,2.68
print,Apr 2009,3.12
print,May 2009,3.46
print,Jun 2009,3.52
print,Jul 2009,3.5
print,Aug 2009,3.4
print,Sep 2009,3.31
print,Oct 2009,3.39
print,Nov 2009,3.2
print,Dec 2009,3.84
print,Jan 2010,3.61
print,Feb 2010,3.6
print,Mar 2010,3.7
